text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت احس بشعور غريب وكاني رحلت من البيت للتو وهذا الشعور اقدر اتحمله,1,0,0,1,0,0,0,1,1,0,0
كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈,0,0,0,0,1,1,1,0,0,0,0
البسطاء يمتلكون ارواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوي باهض وراقي ينعمون بهدوء النفس لانهم يمتلكون كنزالقناعه سنام المجد للدعم,0,0,0,0,0,1,1,0,0,0,0
مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز واعلي الدرجاتت,0,0,0,1,0,0,0,0,0,0,0
انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي,1,0,0,0,0,0,0,0,1,0,0
وانتي واسرتك الكريمه بخير و سرور اختي المحترمه 💜 🌹,0,0,0,0,1,1,0,0,0,0,0
واللي يغيظ ان اريكسن جاب ووالكر جاب وكوستا جاب ومهزله يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍,1,0,0,0,0,0,0,0,0,1,0
النفاق الالكتروني عندما تجد مواقع التواصل الاجتماعي مليئه بالادعيه والمساجد فارغه حسره,1,0,0,0,0,0,0,0,1,0,0
الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعده اواجه حقيقه اني في حاله انكسار,0,0,0,0,0,0,0,1,1,0,0
ثانيه واحده بس كدا يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج دقايق ع بعض ,0,0,0,1,0,0,0,0,0,0,0
غلطه ياسر المسيليم طبيعيه جدا ومتوقعه من لاعب اقدامه مرتجفه ولكن كيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس,1,1,0,1,0,0,0,0,0,0,0
انا غاضبه ورائحه افواه الصائمين تزيد من غضبي اكثر قرف,1,0,1,0,0,0,0,0,0,0,0
