,ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,text,processPost_text,tokens,stop_words_free,disambiguated,dediacritized
0,2018-Ar-00259,ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت أحس بشعور غريب وكأني رحلت من البيت للتو وهذا الشعور أقدر أتحمله,True,False,False,True,False,False,False,True,True,False,False,ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت أحس بشعور غريب وكأني رحلت من البيت للتو وهذا الشعور أقدر أتحمله,ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت احس بشعور غريب وكاني رحلت من البيت للتو وهذا الشعور اقدر اتحمله,"['ظلينا', 'نتكلم', 'ساعات', 'ساعات', 'رتبت', 'فيها', 'نفسي', 'وبكيت', 'فيها', 'مخاوفي', 'مازلت', 'احس', 'بشعور', 'غريب', 'وكاني', 'رحلت', 'من', 'البيت', 'للتو', 'وهذا', 'الشعور', 'اقدر', 'اتحمله']","['ظلينا', 'نتكلم', 'ساعات', 'ساعات', 'رتبت', 'نفسي', 'وبكيت', 'مخاوفي', 'مازلت', 'احس', 'بشعور', 'غريب', 'وكاني', 'رحلت', 'البيت', 'للتو', 'وهذا', 'الشعور', 'اقدر', 'اتحمله']","['ظلينا', 'تَكَلَّم', 'ساعَة', 'ساعَة', 'رَتَّب', 'نَفَس', 'بَكَّى', 'مَخافَة', 'زال', 'أَحَسّ', 'شُعُور', 'غَرِيب', 'وَكَى', 'رَحَّل', 'بَيْت', 'تَوّ', 'هٰذا', 'شُعُور', 'أَقْدَر', 'تَحَمَّل']","['ظلينا', 'تكلم', 'ساعة', 'ساعة', 'رتب', 'نفس', 'بكى', 'مخافة', 'زال', 'أحس', 'شعور', 'غريب', 'وكى', 'رحل', 'بيت', 'تو', 'هذا', 'شعور', 'أقدر', 'تحمل']"
1,2018-Ar-02696,كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈,False,False,False,False,True,True,True,False,False,False,False,كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب وجه مبتسم مع عينين على شكل قلب قلب أحمر ‫بالون ‫بالون ,كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب وجه مبتسم مع عينين علي شكل قلب قلب احمر ‫بالون ‫بالون,"['كل', 'سنه', 'وانتي', 'بخير', 'ياقلبي', 'وكل', 'سنه', 'وانتي', 'سعيده', 'يارب', 'وجه', 'مبتسم', 'مع', 'عينين', 'علي', 'شكل', 'قلب', 'قلب', 'احمر', 'بالون', 'بالون']","['سنه', 'وانتي', 'بخير', 'ياقلبي', 'وكل', 'سنه', 'وانتي', 'سعيده', 'يارب', 'وجه', 'مبتسم', 'عينين', 'علي', 'شكل', 'قلب', 'قلب', 'احمر', 'بالون', 'بالون']","['سَنَة', 'أَنَّة', 'خَيْر', 'ياقلبي', 'وَكَّل', 'سَنَة', 'أَنَّة', 'سَعِيد', 'أَرَب', 'وَجَّه', 'مبتسم', 'عَيْن', 'عَلِيّ', 'شَكْل', 'قَلَّب', 'قَلَّب', 'أَحْمَر', 'بالِي', 'بالِي']","['سنة', 'أنة', 'خير', 'ياقلبي', 'وكل', 'سنة', 'أنة', 'سعيد', 'أرب', 'وجه', 'مبتسم', 'عين', 'علي', 'شكل', 'قلب', 'قلب', 'أحمر', 'بالي', 'بالي']"
2,2018-Ar-03596,البسطاء يمتلكون أرواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوى باهض وراقي ينعمون بهدوء النفس لأنهم يمتلكون كنزالقناعة #سنام_المجد_للدعم,False,False,False,False,False,True,True,False,False,False,False,البسطاء يمتلكون أرواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوى باهض وراقي ينعمون بهدوء النفس لأنهم يمتلكون كنزالقناعة #سنام_المجد_للدعم,البسطاء يمتلكون ارواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوي باهض وراقي ينعمون بهدوء النفس لانهم يمتلكون كنزالقناعه سنام المجد للدعم,"['البسطاء', 'يمتلكون', 'ارواح', 'نادره', 'جداتجدهم', 'بمظهر', 'متواضع', 'لكنهم', 'بمحتوي', 'باهض', 'وراقي', 'ينعمون', 'بهدوء', 'النفس', 'لانهم', 'يمتلكون', 'كنزالقناعه', 'سنام', 'المجد', 'للدعم']","['البسطاء', 'يمتلكون', 'ارواح', 'نادره', 'جداتجدهم', 'بمظهر', 'متواضع', 'لكنهم', 'بمحتوي', 'باهض', 'وراقي', 'ينعمون', 'بهدوء', 'النفس', 'لانهم', 'يمتلكون', 'كنزالقناعه', 'سنام', 'المجد', 'للدعم']","['بَسِيط', 'ٱِمْتَلَك', 'رِيح', 'نادِرَة', 'جداتجدهم', 'مَظْهَر', 'مُتَواضِع', 'لٰكِنَّ', 'مُحْتَوِي', 'باهض', 'وَرّاق', 'نَعَم', 'هُدُوء', 'نَفَس', 'أَنَّ', 'ٱِمْتَلَك', 'كنزالقناعه', 'سَنام', 'مُجِدّ', 'دِعْمَة']","['بسيط', 'ٱمتلك', 'ريح', 'نادرة', 'جداتجدهم', 'مظهر', 'متواضع', 'لكن', 'محتوي', 'باهض', 'وراق', 'نعم', 'هدوء', 'نفس', 'أن', 'ٱمتلك', 'كنزالقناعه', 'سنام', 'مجد', 'دعمة']"
3,2018-Ar-02999,مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز وأعلى الدرجاتت,False,False,False,True,False,False,False,False,False,False,False,مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز وأعلى الدرجاتت,مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز واعلي الدرجاتت,"['مومعقول', 'اللي', 'قاعد', 'يصير', 'فيني', 'هالايام', 'يارب', 'ماينتابني', 'شعور', 'الخوف', 'والتوتر', 'اللهم', 'التركيز', 'واعلي', 'الدرجاتت']","['مومعقول', 'اللي', 'قاعد', 'يصير', 'فيني', 'هالايام', 'يارب', 'ماينتابني', 'شعور', 'الخوف', 'والتوتر', 'اللهم', 'التركيز', 'واعلي', 'الدرجاتت']","['مومعقول', 'لَيّ', 'قاعِد', 'صَيَّر', 'يِن', 'هالايام', 'أَرَب', 'ماينتابني', 'شُعُور', 'خَوْف', 'تَوَتُّر', 'اللّٰهُمَّ', 'تَرْكِيز', 'أَعْلَى', 'الدرجاتت']","['مومعقول', 'لي', 'قاعد', 'صير', 'ين', 'هالايام', 'أرب', 'ماينتابني', 'شعور', 'خوف', 'توتر', 'اللهم', 'تركيز', 'أعلى', 'الدرجاتت']"
4,2018-Ar-02716,انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي,True,False,False,False,False,False,False,False,True,False,False,انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي,انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي,"['انا', 'اكثر', 'شخص', 'متناقض', 'بداخلي', 'حب', 'وكره', 'وامل', 'وقنوط', 'للحين', 'ماعرفت', 'نفسي']","['انا', 'اكثر', 'شخص', 'متناقض', 'بداخلي', 'حب', 'وكره', 'وامل', 'وقنوط', 'للحين', 'ماعرفت', 'نفسي']","['آن', 'أَكْثَر', 'شَخْص', 'مُتَناقِض', 'داخِل', 'حُبّ', 'وَكْرَة', 'أَمَّل', 'قُنُوط', 'لَحَى', 'ماعرفت', 'نَفَس']","['آن', 'أكثر', 'شخص', 'متناقض', 'داخل', 'حب', 'وكرة', 'أمل', 'قنوط', 'لحى', 'ماعرفت', 'نفس']"
5,2018-Ar-04161,وانتي واسرتك الكريمة بخير و سرور اختي المحترمة 💜 🌹,False,False,False,False,True,True,False,False,False,False,False,وانتي واسرتك الكريمة بخير و سرور اختي المحترمة قلب أرجواني وردة ,وانتي واسرتك الكريمه بخير و سرور اختي المحترمه قلب ارجواني ورده,"['وانتي', 'واسرتك', 'الكريمه', 'بخير', 'و', 'سرور', 'اختي', 'المحترمه', 'قلب', 'ارجواني', 'ورده']","['وانتي', 'واسرتك', 'الكريمه', 'بخير', 'سرور', 'اختي', 'المحترمه', 'قلب', 'ارجواني', 'ورده']","['أَنَّة', 'أَسَرّ', 'كَرِيمَة', 'خَيْر', 'سُرُور', 'أُخْت', 'مُحْتَرَم', 'قَلَّب', 'أُرْجُوان', 'وِرْد']","['أنة', 'أسر', 'كريمة', 'خير', 'سرور', 'أخت', 'محترم', 'قلب', 'أرجوان', 'ورد']"
6,2018-Ar-01931,واللي يغيظ ان اريكسن جاب 11 ووالكر جاب 9 وكوستا جاب 16 ومهزلة يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍,True,False,False,False,False,False,False,False,False,True,False,واللي يغيظ ان اريكسن جاب 11 ووالكر جاب 9 وكوستا جاب 16 ومهزلة يعني عامل تريبل كابتن لاقل واحد جاب نقط وجه مبتسم مع عينين على شكل قلب ,واللي يغيظ ان اريكسن جاب ووالكر جاب وكوستا جاب ومهزله يعني عامل تريبل كابتن لاقل واحد جاب نقط وجه مبتسم مع عينين علي شكل قلب,"['واللي', 'يغيظ', 'ان', 'اريكسن', 'جاب', 'ووالكر', 'جاب', 'وكوستا', 'جاب', 'ومهزله', 'يعني', 'عامل', 'تريبل', 'كابتن', 'لاقل', 'واحد', 'جاب', 'نقط', 'وجه', 'مبتسم', 'مع', 'عينين', 'علي', 'شكل', 'قلب']","['واللي', 'يغيظ', 'ان', 'اريكسن', 'جاب', 'ووالكر', 'جاب', 'وكوستا', 'جاب', 'ومهزله', 'يعني', 'عامل', 'تريبل', 'كابتن', 'لاقل', 'جاب', 'نقط', 'وجه', 'مبتسم', 'عينين', 'علي', 'شكل', 'قلب']","['لَيّ', 'أَغاظ', 'أَنْ', 'اريكسن', 'جابِي', 'ووالكر', 'جابِي', 'كُوسْتا', 'جابِي', 'مَهْزَلَة', 'عَنَّى', 'عامِل', 'تريبل', 'كابْتِن', 'أَقَلّ', 'جابِي', 'نَقَّط', 'وَجَّه', 'مبتسم', 'عَيْن', 'عَلِيّ', 'شَكْل', 'قَلَّب']","['لي', 'أغاظ', 'أن', 'اريكسن', 'جابي', 'ووالكر', 'جابي', 'كوستا', 'جابي', 'مهزلة', 'عنى', 'عامل', 'تريبل', 'كابتن', 'أقل', 'جابي', 'نقط', 'وجه', 'مبتسم', 'عين', 'علي', 'شكل', 'قلب']"
7,2018-Ar-02388,النفاق الإلكتروني عندما تجد مواقع التواصل الإجتماعي مليئة بالأدعية والمساجد فارغة #حسرة,True,False,False,False,False,False,False,False,True,False,False,النفاق الإلكتروني عندما تجد مواقع التواصل الإجتماعي مليئة بالأدعية والمساجد فارغة #حسرة,النفاق الالكتروني عندما تجد مواقع التواصل الاجتماعي مليئه بالادعيه والمساجد فارغه حسره,"['النفاق', 'الالكتروني', 'عندما', 'تجد', 'مواقع', 'التواصل', 'الاجتماعي', 'مليئه', 'بالادعيه', 'والمساجد', 'فارغه', 'حسره']","['النفاق', 'الالكتروني', 'عندما', 'تجد', 'مواقع', 'التواصل', 'الاجتماعي', 'مليئه', 'بالادعيه', 'والمساجد', 'فارغه', 'حسره']","['نِفاق', 'إِلِكْترُونِيّ', 'عَنْدَم', 'أَجاد', 'مَوْقِع', 'تَواصُل', 'ٱِجْتِماعِيّ', 'مَلِيء', 'دُعاء', 'مَسْجِد', 'فارِغ', 'حَسَر']","['نفاق', 'إلكتروني', 'عندم', 'أجاد', 'موقع', 'تواصل', 'ٱجتماعي', 'مليء', 'دعاء', 'مسجد', 'فارغ', 'حسر']"
8,2018-Ar-03500,استياء شعبي,True,False,False,False,False,False,False,False,False,False,False,استياء شعبي,استياء شعبي,"['استياء', 'شعبي']","['استياء', 'شعبي']","['ٱِسْتِياء', 'شَعْب']","['ٱستياء', 'شعب']"
9,2018-Ar-00456,الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعدة اواجه حقيقة اني في حالة انكسار:(,False,False,False,False,False,False,False,True,True,False,False,الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعدة اواجه حقيقة اني في حالة انكسار:(,الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعده اواجه حقيقه اني في حاله انكسار,"['الشي', 'الوحيد', 'الي', 'مخليني', 'بهالحساب', 'انو', 'تقريبا', 'محد', 'يعرفني', 'فيه', 'وماني', 'مستعده', 'اواجه', 'حقيقه', 'اني', 'في', 'حاله', 'انكسار']","['الشي', 'الوحيد', 'الي', 'مخليني', 'بهالحساب', 'انو', 'تقريبا', 'محد', 'يعرفني', 'وماني', 'مستعده', 'اواجه', 'حقيقه', 'اني', 'حاله', 'انكسار']","['شَيّ', 'وَحِيد', 'آل', 'مخليني', 'بهالحساب', 'نَوَى', 'تَقْرِيب', 'محد', 'عَرَّف', 'مَأْن', 'مُسْتَعِدّ', 'واجَه', 'حَقِيق', 'آن', 'حالَة', 'ٱِنْكِسار']","['شي', 'وحيد', 'آل', 'مخليني', 'بهالحساب', 'نوى', 'تقريب', 'محد', 'عرف', 'مأن', 'مستعد', 'واجه', 'حقيق', 'آن', 'حالة', 'ٱنكسار']"
